ID,title,authors,year,venue,url,paper_or_abstract,system_scope,heterogeneity,resource_types,workload_type,task_dependencies,dynamic_workload,addresses_mapping,addresses_scheduling,mapping_scheduling,solver_class,specific_method,algorithm_strategy,hybrid_approach,makespan,utilization,energy,cost,load_balance,throughput,latency,deadline,reliability,security,single_multi_obj,assignment,capacity,feature,precedence,communication,max_tasks,max_resources,eval_type,benchmark,baselines,reproducible,extraction_source,confidence,abstract_length,abstract_preview
40,Enhanced hybrid multi-objective workflow scheduling approach based artificial bee colony in cloud computing,"M Zeedan, G Attiya, N El-Fishawy",2023.0,Computing,https://link.springer.com/article/10.1007/s00607-022-01116-y,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"ABC, EFT, HEFT",Greedy/Population-based,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Single,,,,N,Y,Unknown,Unknown,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Inspiral, LIGO, Montage, SIPHT, SPEC",HEFT,Unknown,full-text,high,183,listing the tasks according to priority defined by Heterogeneous Earliest Finish Time (HEFT)   scientific applications that demand a high-performance computing environment in order to
41,Multi-objective workflow scheduling in cloud computing: trade-off between makespan and cost,"A Belgacem, K Beghdad-Bey",2022.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-021-03432-y,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"ACO, HEFT",Greedy/Population-based,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Single,Y,,,N,Y,500.0,7.0,Simulation,"CloudSim, CyberShake, LIGO, Montage, Pegasus, SPEC",HEFT,Unknown,full-text,high,176,"We propose a HEFT-ACO approach, which is based on the heterogeneous earliest end time  (HEFT), and the ant colony algorithm (ACO) to minimize them. Experimental simulations are"
42,An effective meta-heuristic based multi-objective hybrid optimization method for workflow scheduling in cloud computing environment,"J Kakkottakath Valappil Thekkepuryil, DP Suseelan",2021.0,Cluster …,https://link.springer.com/article/10.1007/s10586-021-03269-5,paper,Cloud,Hetero,"CPU, FPGA, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic/Metaheuristic,"Heuristic, Meta-H, Multi-obj","Constructive/Priority, Population-based",Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,,,N,Y,100.0,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, Montage, SPEC",Unknown,Unknown,full-text,high,181,"tasks, and they require high-performance computing resources for efficient execution.   Workflow scheduling in the cloud is very challenging due to the versatility and heterogeneity"
43,A reinforcement learning-based population hyper-heuristic for energy-efficient cloud workflow scheduling problem,"Y Li, Y He, J Lin, Z Xu, S Zhang",2025.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/11080081/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Exact/ML/AI,"B&B, RL",Exact/Learning-based,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Single,,Y,,N,Y,1500.0,9900.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,179,"branch-and-bound method for workflow scheduling in heterogeneous systems. Later, Sirisha  et al. [ Several other algorithms have also been developed for cloud workflow scheduling."
44,HBDCWS: heuristic-based budget and deadline constrained workflow scheduling approach for heterogeneous clouds,"N Rizvi, D Ramesh",2020.0,Soft Computing,https://link.springer.com/article/10.1007/s00500-020-05127-9,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Heuristic,"Constructive/Priority, Population-based",N,Y,,,Y,,,,Y,Y,,Multi,Y,,,N,Y,1000.0,5.0,Simulation/Trace-based,"CloudSim, CyberShake, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,175,applications toward a high-performance computing system is  due to the dynamic and  heterogeneous nature of cloud and  and deadline constrained workflow scheduling algorithm (
45,An energy-efficient big data workflow scheduling algorithm under budget constraints for heterogeneous cloud environment,"W Ahmad, B Alam, A Atman",2021.0,The Journal of Supercomputing,https://link.springer.com/article/10.1007/s11227-021-03733-4,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based",N,Y,,Y,Y,Y,,Y,Y,,,Multi,Y,,,N,Y,9497.0,21.0,Simulation/Trace-based,"CyberShake, LIGO, Montage, SPEC",Unknown,Unknown,full-text,high,175,"amount of high-performance computing systems for the  , energy-efficient workflow  scheduling under budget constraints  an energy-efficient workflow scheduling algorithm named"
46,A hybrid metaheuristic for multi-objective scientific workflow scheduling in a cloud environment,"N Anwar, H Deng",2018.0,Applied sciences,https://www.mdpi.com/2076-3417/8/4/538,paper,Cloud/Edge/Fog/HPC,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based, Mathematical",N,Y,Y,Y,Y,Y,,Y,Y,Y,,Multi,Y,,,N,Y,30.0,10.0,Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,178,"as a high-performance computing environment with a large  due to its dynamic and  heterogeneous nature. The aim of this  study is represented by a set of heterogeneous k VMs, M ="
47,A multi-criteria decision making heuristic for workflow scheduling in cloud computing environment.,"CT Kamanga, E Bugingo",2023.0,Journal of …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09208542&AN=161138716&h=cXXEe%2F%2B%2BcjPLg2SGTMpgRICfVig1n2zac5JwuOYimQ2ijfJEPNQOqUtxLEqB23nUD4Z7FNYFOej7O2DX9IFB1Q%3D%3D&crl=c,abstract,Cloud,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Heuristic,Unknown,N,Y,,,Y,,,,,Y,Y,Single,,,,N,,Unknown,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,title+abstract,low,181,High-performance computing applications can be found in  solution for high-performance  computing applications because it  We assume the availability of heterogeneous resources that
48,Towards Highly Compatible I/O-Aware Workflow Scheduling on HPC Systems,"Y Dai, R Wang, Y Dong, K Lu",2024.0,… High Performance Computing …,https://ieeexplore.ieee.org/abstract/document/10793223/,paper,HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Heuristic,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,,,Y,,Y,,Y,,Multi,,Y,,N,Y,402.0,64.0,Real-system/Simulation/Trace-based,"Pegasus, SPEC",Unknown,Unknown,full-text,high,179,workflow scheduling  workflow scheduling complexities on HPC systems and facilitates  the testing of various scheduling algorithms. We also propose a heuristic workflow scheduling
49,A Novel Optimization Approach for Energy-Efficient Multiple Workflow Scheduling in Cloud Environment.,"A Aggarwal, S Kumar, A Bhansali",2024.0,… Systems Science & …,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=02676192&AN=178627406&h=v33%2FeVeonpqYZ1TTRZ%2BMN8%2BUk5QDN0HWiWLA4GqagIGeEeVD8K8ASeXOYBlGMXjUQLvCo0DU5flb1a37aVpebA%3D%3D&crl=c,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,Y,,N,Y,1000.0,1000.0,Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, SIPHT, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,179,"high-performance computing, scaling, and virtualized resources [1]. This process is known  as task/workflow scheduling.  algorithm under budget constraints for heterogeneous cloud"
50,E-HEFT: enhancement heterogeneous earliest finish time algorithm for task scheduling based on load balancing in cloud computing,"Y Samadi, M Zbakh, C Tadonki",2018.0,… High Performance Computing …,https://ieeexplore.ieee.org/abstract/document/8514405/,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Static,N,Y,Scheduling-only,Heuristic,"EFT, HEFT",Greedy,N,Y,Y,,Y,Y,,,Y,Y,Y,Multi,,Y,,N,Y,10000.0,20.0,Simulation,"CloudSim, CyberShake, Montage, Pegasus, SPEC",HEFT,Unknown,full-text,high,177,"To evaluate a workflow scheduling algorithm, we should measure its performance on some  sample workflows. So, there is a need for a good simulator for experimental purposes. One"
51,Multi objective prioritized workflow scheduling using deep reinforcement based learning in cloud computing,"S Mangalampalli, SS Hashmi, A Gupta, GR Karri",2024.0,IEEE …,https://ieeexplore.ieee.org/abstract/document/10382514/,paper,Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,DRL,Learning-based,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,,,N,Y,1000.0,50.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,177,"generated from various heterogeneous resources and task  a novel multi objective workflow  scheduling algorithm using Deep  , to schedule workflows in high performance computing"
52,A hpc co-scheduler with reinforcement learning,"A Souza, K Pelckmans, J Tordsson",2021.0,Workshop on Job Scheduling …,https://link.springer.com/chapter/10.1007/978-3-030-88224-2_7,paper,HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,RL,Learning-based,N,Y,Y,Y,,Y,Y,Y,Y,Y,,Multi,,Y,Y,N,Y,45.0,512.0,Real-system/Simulation/Trace-based,"Google Trace, Montage, SPEC",Unknown,Unknown,full-text,high,179,"to ever larger cluster scales and heterogeneity of modern scientific  High Performance  Computing (HPC) datacenters process  From user-space, ASA enables novel workflow scheduling"
53,Dynamic Workflow Partitioning via Reinforcement Learning for Edge-Cloud Heterogeneous Systems,"Y Zhang, C Morris",2025.0,Frontiers in Artificial Intelligence Research,https://sprcopen.org/index.php/FAIR/article/view/455,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, Container, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,RL,Learning-based,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,Y,Y,N,Y,1000.0,495.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,175,has focused on static workflow scheduling in homogeneous  dynamic partitioning in  edge-cloud heterogeneous systems.  scaling and high-performance computing capabilities while
54,Genetic programming for dynamic workflow scheduling in fog computing,"M Xu, Y Mei, S Zhu, B Zhang, T Xiang",2023.0,IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/10064120/,paper,Hybrid,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,EA,Population-based,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Multi,Y,,,N,Y,Unknown,Unknown,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,172,"Huang, “Budget and sla aware dynamic workflow scheduling in cloud computing with  heterogeneous resources,” in Proceedings of the IEEE Congress on Evolutionary Computation,"
55,A resource optimization scheduling model and algorithm for heterogeneous computing clusters based on GNN and RL,"Z Zhang, C Xu, K Liu, S Xu",2024.0,The Journal of …,"https://link.springer.com/article/10.1007/s11227-024-06383-4
https://search.proquest.com/openview/155ec98e16be1a43d940bca0b757ce7a/1?pq-origsite=gscholar&cbl=2043774",paper,Cloud/HPC,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,GNN,Learning-based,N,Y,Y,Y,Y,Y,,,,Y,,Multi,,,Y,N,Y,600.0,60.0,Simulation/Trace-based,"CloudSim, SPEC",Unknown,Unknown,full-text,high,173,"high-performance computing, cluster computing, and computer hardware has led to the  prominence of heterogeneous  learning-based cloud workflow scheduling method named Lore."
56,Predictive State-aware Deep Reinforcement Learning with Hyper-Heuristic for Resolving Conflicting Objectives in Scientific Workflow Scheduling,"AS Bajaher, NAWA Hamid, I Ahmad, ZM Hanapi",2025.0,IEEE Access,https://ieeexplore.ieee.org/abstract/document/11186249/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,ML/AI,"DRL, RL",Learning-based,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Multi,,Y,,N,Y,100.0,86.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, Inspiral, Montage, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,174,"heterogeneous workflow scheduling while being aware of deadlines and budgets. The proposed  workflow scheduling  For example, high-performance computing nodes are assigned to"
57,Reliability/performance-aware scheduling for parallel applications with energy constraints on heterogeneous computing systems,"J Peng, K Li, J Chen, K Li",2022.0,IEEE Transactions on Sustainable …,https://ieeexplore.ieee.org/abstract/document/9695188/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, GPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Pipeline/Dataflow,"Constructive/Priority, Learning-based",N,Y,Y,Y,Y,Y,,Y,Y,Y,,Multi,,,,N,,10.0,Unknown,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,182,"respectively, which are widely used in high-performance computing systems [29]. In addition,   workflow scheduling algorithm on heterogeneous systems,” IEEE Trans. Ind. Inform., vol."
58,DE-GWO: a multi-objective workflow scheduling algorithm for heterogeneous fog-cloud environment,"P Shukla, S Pandey",2024.0,Arabian Journal for Science and Engineering,https://link.springer.com/article/10.1007/s13369-023-08425-0,paper,HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,Y,Y,Joint,Metaheuristic,"DE, GWO, Multi-obj","Constructive/Priority, Population-based, Learning-based",N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Multi,,,,N,Y,2000.0,Unknown,Real-system,"CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,175,were mostly deployed on High Performance Computing (HPC) platforms [ heterogeneous  FCE which includes mapping of tasks constituting workflows onto the available heterogeneous
59,CPTF–a new heuristic based branch and bound algorithm for workflow scheduling in heterogeneous distributed computing systems,"D Sirisha, SS Prasad",2024.0,CCF Transactions on High Performance Computing,https://link.springer.com/article/10.1007/s42514-024-00192-0,paper,HPC,Hetero,CPU,Workflow/DAG,N,Static,N,Y,Scheduling-only,Exact,B&B,Exact,N,Y,,,,,,Y,Y,Y,,Multi,,,,N,,100.0,2.0,Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,174,computation requirements and necessitate Heterogeneous Distributed Computing Systems  ( First (CPTF) algorithm is proposed for workflow scheduling on HDCS to achieve the best
60,Energy and resource efficient workflow scheduling in a virtualized cloud environment,"N Garg, D Singh, MS Goraya",2021.0,Cluster Computing,https://link.springer.com/article/10.1007/s10586-020-03149-4,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"CloudSim, DE, HEFT, PSO","Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Single,,Y,,N,Y,1000.0,5000.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, Inspiral, LIGO, Montage, Pegasus, Random Graph, SIPHT, SPEC",Unknown,Unknown,full-text,high,184,"Most of workflow scheduling algorithms have focused on  The selection of an efficient and  effective workflow scheduling  , dynamic provisioning of unlimited heterogeneous resources is"
61,Energy efficient workflow scheduling algorithm for latency-sensitive applications using cloud-fog collaboration,"P Shukla, S Pandey",2023.0,2023 IEEE International Conference on …,https://ieeexplore.ieee.org/abstract/document/10469573/,paper,Cloud/Edge/Fog/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),"Constructive/Priority, Population-based, Learning-based, Quantum",N,Y,,Y,Y,Y,,Y,Y,Y,,Multi,,,,N,Y,2000.0,Unknown,Simulation/Trace-based,"CloudSim, Montage, SPEC, WorkflowSim",Unknown,Unknown,partial-text,medium,172,") for optimizing workflow scheduling in heterogeneous CFC.  demand for more high  performance computing capabilities. So,  at hand is to optimize the workflow scheduling in"
62,Scheduling workflows with composite tasks: A nested particle swarm optimization approach,"A Song, WN Chen, X Luo, ZH Zhan",2020.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9007494/,paper,Cloud/HPC/Hybrid,Hetero,CPU,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,PSO,Population-based,N,Y,,Y,Y,Y,Y,,Y,Y,Y,Multi,,,,N,Y,7.0,Unknown,Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SIPHT, SPEC, STG",Unknown,Unknown,full-text,high,174,"a novel model for WorkFlow Scheduling, which models heavy  when scheduling high-performance  computing applications  the heterogeneous processors, the Heterogeneous Earliest-"
63,Hybrid meta-heuristic genetic algorithm: Differential evolution algorithms for scientific workflow scheduling in heterogeneous cloud environment,"FA Saif, R Latip, MN Derahman, AA Alwan",2022.0,Proceedings of the future …,https://link.springer.com/chapter/10.1007/978-3-031-18344-7_2,abstract,Cloud,Hetero,Unknown,Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Metaheuristic,"DE, GA",Population-based,N,Y,,,,,,,,,,Single,,,,N,,Unknown,Unknown,Simulation/Trace-based,"CyberShake, Epigenomics, Montage, SPEC",Unknown,Unknown,partial-abstract,low,179,This research aims to investigate how heterogeneous cloud computing affects workflow  scheduling is more proper for executing workflow scheduling in heterogeneous cloud computing.
64,Scheduling beyond CPUs for HPC,"Y Fan, Z Lan, P Rich, WE Allcock, ME Papka",2019.0,Proceedings of the 28th …,https://dl.acm.org/doi/abs/10.1145/3307681.3325401,paper,HPC,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/ML/AI/Metaheuristic,DE,"Constructive/Priority, Population-based, Learning-based",N,Y,Y,Y,Y,Y,,Y,Y,Y,,Multi,,Y,Y,N,Y,4392.0,4392.0,Real-system/Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,177,The exponential growth in computing power has enabled highperformance computing (HPC  ]; Jakob et al. formulated a workflow scheduling problem in grid into optimizing a weighted
65,Multi-tree genetic programming hyper-heuristic for dynamic flexible workflow scheduling in multi-clouds,"Z Sun, Y Mei, F Zhang, H Huang, C Gu",2024.0,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10509784/,paper,Cloud/Edge/Fog/HPC/Hybrid,Hetero,"CPU, Container, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Heuristic,"Constructive/Priority, Population-based, Learning-based, Mathematical",N,Y,,Y,Y,Y,,Y,Y,Y,Y,Multi,Y,Y,,N,Y,300.0,10.0,Real-system/Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,178,Multi-cloud is a promising paradigm due to its advantages such as avoiding vendor lock-in  and optimising costs. This article focuses on dynamic flexible workflow scheduling with
66,MOHBA: multi-objective workflow scheduling in cloud computing using hybrid BAT algorithm,S Sobhanayak,2023.0,Computing,https://link.springer.com/article/10.1007/s00607-023-01175-9,paper,Cloud,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"Bat, EFT",Greedy/Population-based,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Multi,,Y,,N,Y,2000.0,11.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC",Unknown,Unknown,full-text,high,175,"systems and cloud computing high-performance computing is becoming more accessible to   for workflow scheduling in heterogeneous multiprocessors, Heterogeneous Earliest Finish"
67,Scientific workflow scheduling in multi-cloud computing using a hybrid multi-objective optimization algorithm,"A Mohammadzadeh, M Masdari",2023.0,Journal of Ambient Intelligence and …,https://link.springer.com/article/10.1007/s12652-021-03482-5,paper,Cloud,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Metaheuristic,Multi-obj,"Constructive/Priority, Population-based",N,Y,Y,Y,Y,Y,Y,,Y,Y,,Multi,,,,N,Y,1000.0,Unknown,Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC, WorkflowSim",Unknown,Unknown,full-text,high,172,"Scientists required a high-performance computing environment, such as cluster  computing,  This paper proposes a workflow scheduling algorithm for heterogeneous multi-cloud"
68,Efficient Probabilistic Workflow Scheduling for IaaS Clouds,"GR Russo, R Marotta, F Cordari, F Quaglia",2024.0,arXiv preprint arXiv …,https://arxiv.org/abs/2412.06073,paper,Cloud,Hetero,VM,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"DE, EFT, HEFT, NSGA-II","Constructive/Priority, Population-based",N,Y,Y,,Y,Y,,Y,Y,,,Multi,Y,Y,Y,N,Y,1000.0,1000.0,Experimental,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SIPHT, SPEC",Unknown,Unknown,full-text,high,1517,"The flexibility and the variety of computing resources offered by the cloud make it particularly attractive for executing user workloads. However, IaaS cloud environments pose non-trivial challenges in the case of workflow scheduling under deadlines and monetary cost constraints. Indeed, given the t"
69,Dynamic multiworkflow deadline and budget constrained scheduling in heterogeneous distributed systems,"G Wang, Y Wang, MS Obaidat, C Lin",2021.0,IEEE Systems …,https://ieeexplore.ieee.org/abstract/document/9464156/,paper,Cloud/HPC,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Dynamic/Adaptive,"Constructive/Priority, Population-based, Learning-based",N,Y,,Y,Y,Y,Y,,Y,Y,Y,Multi,,,,N,Y,Unknown,Unknown,Simulation/Trace-based,"CyberShake, Epigenomics, LIGO, Montage, Pegasus, SPEC, SimGrid",Unknown,Unknown,full-text,high,177,"the algorithm handles dynamic workflow scheduling on parallel heterogeneous resources,  we  His research interests include high-performance computing, computer architecture, and"
70,An Enhanced Workflow Scheduling Algorithm for Cloud Computing Environment.,"S Ahmed, FA Omara",2022.0,International Journal of Intelligent Engineering & …,https://inass.org/wp-content/uploads/2022/09/2022123156-3.pdf,paper,Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Unknown,N,Y,Scheduling-only,Heuristic,"EFT, HEFT",Greedy,N,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Single,Y,Y,,N,Y,1000.0,20.0,Real-system/Simulation/Trace-based,"CloudSim, CyberShake, Epigenomics, LIGO, Montage, SIPHT, SPEC, WorkflowSim",HEFT,Unknown,full-text,high,175,"Therefore, workflow scheduling is considered one of the most  Because the existing  heterogeneous earliest finish time (HEFT High performance computing (HPC) is the ability to"
71,Multi-QoS constrained and profit-aware scheduling approach for concurrent workflows on heterogeneous systems,"H Arabnejad, JG Barbosa",2017.0,Future Generation Computer Systems,https://www.sciencedirect.com/science/article/pii/S0167739X16303740,abstract,Unknown,Hetero,CPU,Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic,Scheduling algorithm (unspecified),Constructive/Priority,N,Y,Y,Y,Y,Y,,,Y,,,Single,,,,N,Y,Unknown,Unknown,Real-system/Simulation/Trace-based,"Random Graph, SPEC",Unknown,Unknown,title-only,low,175,"presents a scheduling algorithm that manages concurrent workflows in a dynamic environment  in which jobs are submitted by users at any moment in time, on shared heterogeneous"
72,Tri-Objective workflow scheduling and optimization in heterogeneous cloud environments,"H Alrammah, Y Gu, Z Liu",2020.0,2020 IEEE International Parallel and …,https://ieeexplore.ieee.org/abstract/document/9150455/,paper,Cloud/HPC/Hybrid,Hetero,"CPU, VM",Workflow/DAG,N,Dynamic,N,Y,Scheduling-only,Heuristic/Metaheuristic,"Heuristic, Multi-obj","Constructive/Priority, Population-based",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Multi,,,Y,N,Y,10.0,4.0,Simulation/Trace-based,SPEC,Unknown,Unknown,full-text,high,182,"In order to overcome both limitations, we propose a heuristic algorithm on workflow  scheduling in a cloud, called Multi-objective Optimization for Makespan, Cost and Energy (MOMCE),"
